local-authority-code,section,max_score,score,section_name
CAY,s9_ee,4,3.0,Ecological emergency
CBF,s1_gov,21,16.0,"Governance, development and funding"
CBF,s2_m&a,18,11.0,Mitigation and adaptation
CBF,s3_c&a,7,7.0,Commitment and intergration
CBF,s4_coms,9,4.0,"Community, engagement and communications"
CBF,s5_mset,5,4.0,Measuring and setting emissions targets
CBF,s6_cb,4,2.0,Co-benefits
CBF,s7_dsi,5,1.0,Diversity and inclusion
CBF,s8_est,5,3.0,"Education, skills and training"
CBF,s9_ee,4,2.0,Ecological emergency
CCG,s1_gov,21,0.0,"Governance, development and funding"
CCG,s2_m&a,18,0.0,Mitigation and adaptation
CCG,s3_c&a,7,0.0,Commitment and intergration
CCG,s4_coms,9,0.0,"Community, engagement and communications"
CCG,s5_mset,5,0.0,Measuring and setting emissions targets
CCG,s6_cb,4,0.0,Co-benefits
CCG,s7_dsi,5,0.0,Diversity and inclusion
CCG,s8_est,5,0.0,"Education, skills and training"
CCG,s9_ee,4,0.0,Ecological emergency
CGN,s1_gov,21,15.0,"Governance, development and funding"
CGN,s2_m&a,18,4.0,Mitigation and adaptation
CGN,s3_c&a,7,3.0,Commitment and intergration
CGN,s4_coms,9,2.0,"Community, engagement and communications"
CGN,s5_mset,5,2.0,Measuring and setting emissions targets
CGN,s6_cb,4,0.0,Co-benefits
CGN,s7_dsi,5,0.0,Diversity and inclusion
CGN,s8_est,5,2.0,"Education, skills and training"
CGN,s9_ee,4,2.0,Ecological emergency
CHA,s1_gov,21,5.0,"Governance, development and funding"
CHA,s2_m&a,18,3.0,Mitigation and adaptation
CHA,s3_c&a,7,2.0,Commitment and intergration
CHA,s4_coms,9,2.0,"Community, engagement and communications"
CHA,s5_mset,5,1.0,Measuring and setting emissions targets
CHA,s6_cb,4,3.0,Co-benefits
CHA,s7_dsi,5,0.0,Diversity and inclusion
CHA,s8_est,5,0.0,"Education, skills and training"
CHA,s9_ee,4,1.0,Ecological emergency
CHE,s1_gov,21,16.0,"Governance, development and funding"
CHE,s2_m&a,18,12.0,Mitigation and adaptation
CHE,s3_c&a,7,5.0,Commitment and intergration
CHE,s4_coms,9,8.0,"Community, engagement and communications"
CHE,s5_mset,5,5.0,Measuring and setting emissions targets
CHE,s6_cb,4,4.0,Co-benefits
CHE,s7_dsi,5,0.0,Diversity and inclusion
CHE,s8_est,5,1.0,"Education, skills and training"
CHE,s9_ee,4,3.0,Ecological emergency
CHI,s1_gov,21,13.0,"Governance, development and funding"
CHI,s2_m&a,18,10.0,Mitigation and adaptation
CHI,s3_c&a,7,3.0,Commitment and intergration
CHI,s4_coms,9,4.0,"Community, engagement and communications"
CHI,s5_mset,5,1.0,Measuring and setting emissions targets
CHI,s6_cb,4,1.0,Co-benefits
CHI,s7_dsi,5,1.0,Diversity and inclusion
CHI,s8_est,5,4.0,"Education, skills and training"
CHI,s9_ee,4,1.0,Ecological emergency
CHL,s1_gov,21,6.0,"Governance, development and funding"
CHL,s2_m&a,18,3.0,Mitigation and adaptation
CHL,s3_c&a,7,4.0,Commitment and intergration
CHL,s4_coms,9,1.0,"Community, engagement and communications"
CHL,s5_mset,5,1.0,Measuring and setting emissions targets
CHL,s6_cb,4,0.0,Co-benefits
CHL,s7_dsi,5,0.0,Diversity and inclusion
CHL,s8_est,5,1.0,"Education, skills and training"
CHL,s9_ee,4,1.0,Ecological emergency
CHO,s1_gov,21,0.0,"Governance, development and funding"
CHO,s2_m&a,18,0.0,Mitigation and adaptation
CHO,s3_c&a,7,0.0,Commitment and intergration
CHO,s4_coms,9,0.0,"Community, engagement and communications"
CHO,s5_mset,5,0.0,Measuring and setting emissions targets
CHO,s6_cb,4,0.0,Co-benefits
CHO,s7_dsi,5,0.0,Diversity and inclusion
CHO,s8_est,5,0.0,"Education, skills and training"
CHO,s9_ee,4,0.0,Ecological emergency
CHR,s1_gov,21,12.0,"Governance, development and funding"
CHR,s2_m&a,18,8.0,Mitigation and adaptation
CHR,s3_c&a,7,5.0,Commitment and intergration
CHR,s4_coms,9,4.0,"Community, engagement and communications"
CHR,s5_mset,5,4.0,Measuring and setting emissions targets
CHR,s6_cb,4,2.0,Co-benefits
CHR,s7_dsi,5,0.0,Diversity and inclusion
CHR,s8_est,5,1.0,"Education, skills and training"
CHR,s9_ee,4,0.0,Ecological emergency
CHS,s1_gov,21,11.0,"Governance, development and funding"
CHS,s2_m&a,18,4.0,Mitigation and adaptation
CHS,s3_c&a,7,3.0,Commitment and intergration
CHS,s4_coms,9,2.0,"Community, engagement and communications"
CHS,s5_mset,5,1.0,Measuring and setting emissions targets
CHS,s6_cb,4,0.0,Co-benefits
CHS,s7_dsi,5,0.0,Diversity and inclusion
CHS,s8_est,5,1.0,"Education, skills and training"
CHS,s9_ee,4,0.0,Ecological emergency
CHT,s1_gov,21,9.0,"Governance, development and funding"
CHT,s2_m&a,18,4.0,Mitigation and adaptation
CHT,s3_c&a,7,0.0,Commitment and intergration
CHT,s4_coms,9,4.0,"Community, engagement and communications"
CHT,s5_mset,5,4.0,Measuring and setting emissions targets
CHT,s6_cb,4,0.0,Co-benefits
CHT,s7_dsi,5,0.0,Diversity and inclusion
CHT,s8_est,5,0.0,"Education, skills and training"
CHT,s9_ee,4,0.0,Ecological emergency
CHW,s1_gov,21,15.0,"Governance, development and funding"
CHW,s2_m&a,18,13.0,Mitigation and adaptation
CHW,s3_c&a,7,3.0,Commitment and intergration
CHW,s4_coms,9,6.0,"Community, engagement and communications"
CHW,s5_mset,5,4.0,Measuring and setting emissions targets
CHW,s6_cb,4,2.0,Co-benefits
CHW,s7_dsi,5,2.0,Diversity and inclusion
CHW,s8_est,5,1.0,"Education, skills and training"
CHW,s9_ee,4,3.0,Ecological emergency
CLD,s1_gov,21,2.0,"Governance, development and funding"
CLD,s2_m&a,18,9.0,Mitigation and adaptation
CLD,s3_c&a,7,3.0,Commitment and intergration
CLD,s4_coms,9,4.0,"Community, engagement and communications"
CLD,s5_mset,5,2.0,Measuring and setting emissions targets
CLD,s6_cb,4,1.0,Co-benefits
CLD,s7_dsi,5,0.0,Diversity and inclusion
CLD,s8_est,5,1.0,"Education, skills and training"
CLD,s9_ee,4,1.0,Ecological emergency
CLK,s1_gov,21,0.0,"Governance, development and funding"
CLK,s2_m&a,18,0.0,Mitigation and adaptation
CLK,s3_c&a,7,0.0,Commitment and intergration
CLK,s4_coms,9,0.0,"Community, engagement and communications"
CLK,s5_mset,5,0.0,Measuring and setting emissions targets
CLK,s6_cb,4,0.0,Co-benefits
CLK,s7_dsi,5,0.0,Diversity and inclusion
CLK,s8_est,5,0.0,"Education, skills and training"
CLK,s9_ee,4,0.0,Ecological emergency
CMA,s1_gov,21,1.0,"Governance, development and funding"
CMA,s2_m&a,18,0.0,Mitigation and adaptation
CMA,s3_c&a,5,3.0,Commitment and intergration
CMA,s4_coms,9,2.0,"Community, engagement and communications"
CMA,s5_mset,5,0.0,Measuring and setting emissions targets
CMA,s6_cb,4,2.0,Co-benefits
CMA,s7_dsi,5,0.0,Diversity and inclusion
CMA,s8_est,5,0.0,"Education, skills and training"
CMA,s9_ee,4,0.0,Ecological emergency
CMD,s1_gov,21,14.0,"Governance, development and funding"
CMD,s2_m&a,18,6.0,Mitigation and adaptation
CMD,s3_c&a,7,6.0,Commitment and intergration
CMD,s4_coms,9,6.0,"Community, engagement and communications"
CMD,s5_mset,5,4.0,Measuring and setting emissions targets
CMD,s6_cb,4,4.0,Co-benefits
CMD,s7_dsi,5,1.0,Diversity and inclusion
CMD,s8_est,5,3.0,"Education, skills and training"
CMD,s9_ee,4,2.0,Ecological emergency
CMN,s1_gov,21,10.0,"Governance, development and funding"
CMN,s2_m&a,18,2.0,Mitigation and adaptation
CMN,s3_c&a,7,5.0,Commitment and intergration
CMN,s4_coms,9,3.0,"Community, engagement and communications"
CMN,s5_mset,5,2.0,Measuring and setting emissions targets
CMN,s6_cb,4,1.0,Co-benefits
CMN,s7_dsi,5,0.0,Diversity and inclusion
CMN,s8_est,5,1.0,"Education, skills and training"
CMN,s9_ee,4,0.0,Ecological emergency
COL,s1_gov,21,10.0,"Governance, development and funding"
COL,s2_m&a,18,5.0,Mitigation and adaptation
COL,s3_c&a,7,6.0,Commitment and intergration
COL,s4_coms,9,6.0,"Community, engagement and communications"
COL,s5_mset,5,3.0,Measuring and setting emissions targets
COL,s6_cb,4,4.0,Co-benefits
COL,s7_dsi,5,0.0,Diversity and inclusion
COL,s8_est,5,2.0,"Education, skills and training"
COL,s9_ee,4,2.0,Ecological emergency
CON,s1_gov,21,15.0,"Governance, development and funding"
CON,s2_m&a,18,17.0,Mitigation and adaptation
CON,s3_c&a,7,5.0,Commitment and intergration
CON,s4_coms,9,7.0,"Community, engagement and communications"
CON,s5_mset,5,3.0,Measuring and setting emissions targets
CON,s6_cb,4,3.0,Co-benefits
CON,s7_dsi,5,1.0,Diversity and inclusion
CON,s8_est,5,3.0,"Education, skills and training"
CON,s9_ee,4,3.0,Ecological emergency
COP,s1_gov,21,8.0,"Governance, development and funding"
COP,s2_m&a,18,1.0,Mitigation and adaptation
COP,s3_c&a,7,2.0,Commitment and intergration
COP,s4_coms,9,3.0,"Community, engagement and communications"
COP,s5_mset,5,1.0,Measuring and setting emissions targets
COP,s6_cb,4,2.0,Co-benefits
COP,s7_dsi,5,0.0,Diversity and inclusion
COP,s8_est,5,1.0,"Education, skills and training"
COP,s9_ee,4,2.0,Ecological emergency
COT,s1_gov,21,7.0,"Governance, development and funding"
COT,s2_m&a,18,3.0,Mitigation and adaptation
COT,s3_c&a,7,3.0,Commitment and intergration
COT,s4_coms,9,5.0,"Community, engagement and communications"
COT,s5_mset,5,3.0,Measuring and setting emissions targets
COT,s6_cb,4,3.0,Co-benefits
COT,s7_dsi,5,0.0,Diversity and inclusion
COT,s8_est,5,2.0,"Education, skills and training"
COT,s9_ee,4,3.0,Ecological emergency
COV,s1_gov,21,0.0,"Governance, development and funding"
COV,s2_m&a,18,0.0,Mitigation and adaptation
COV,s3_c&a,7,0.0,Commitment and intergration
COV,s4_coms,9,0.0,"Community, engagement and communications"
COV,s5_mset,5,0.0,Measuring and setting emissions targets
COV,s6_cb,4,0.0,Co-benefits
COV,s7_dsi,5,0.0,Diversity and inclusion
COV,s8_est,5,0.0,"Education, skills and training"
COV,s9_ee,4,0.0,Ecological emergency
CPCA,s1_gov,21,0.0,"Governance, development and funding"
CPCA,s2_m&a,18,0.0,Mitigation and adaptation
CPCA,s3_c&a,5,0.0,Commitment and intergration
CPCA,s4_coms,9,0.0,"Community, engagement and communications"
CPCA,s5_mset,5,0.0,Measuring and setting emissions targets
CPCA,s6_cb,4,0.0,Co-benefits
CPCA,s7_dsi,5,0.0,Diversity and inclusion
CPCA,s8_est,5,0.0,"Education, skills and training"
CPCA,s9_ee,4,0.0,Ecological emergency
CRA,s1_gov,21,8.0,"Governance, development and funding"
CRA,s2_m&a,18,6.0,Mitigation and adaptation
CRA,s3_c&a,7,1.0,Commitment and intergration
CRA,s4_coms,9,3.0,"Community, engagement and communications"
CRA,s5_mset,5,3.0,Measuring and setting emissions targets
CRA,s6_cb,4,3.0,Co-benefits
CRA,s7_dsi,5,2.0,Diversity and inclusion
CRA,s8_est,5,0.0,"Education, skills and training"
CRA,s9_ee,4,1.0,Ecological emergency
CRF,s1_gov,21,14.0,"Governance, development and funding"
CRF,s2_m&a,18,16.0,Mitigation and adaptation
CRF,s3_c&a,7,6.0,Commitment and intergration
CRF,s4_coms,9,8.0,"Community, engagement and communications"
CRF,s5_mset,5,3.0,Measuring and setting emissions targets
CRF,s6_cb,4,4.0,Co-benefits
CRF,s7_dsi,5,0.0,Diversity and inclusion
CRF,s8_est,5,2.0,"Education, skills and training"
CRF,s9_ee,4,4.0,Ecological emergency
CRW,s1_gov,21,0.0,"Governance, development and funding"
CRW,s2_m&a,18,0.0,Mitigation and adaptation
CRW,s3_c&a,7,0.0,Commitment and intergration
CRW,s4_coms,9,0.0,"Community, engagement and communications"
CRW,s5_mset,5,0.0,Measuring and setting emissions targets
CRW,s6_cb,4,0.0,Co-benefits
CRW,s7_dsi,5,0.0,Diversity and inclusion
CRW,s8_est,5,0.0,"Education, skills and training"
CRW,s9_ee,4,0.0,Ecological emergency
CRY,s1_gov,21,11.0,"Governance, development and funding"
CRY,s2_m&a,18,8.0,Mitigation and adaptation
CRY,s3_c&a,7,5.0,Commitment and intergration
CRY,s4_coms,9,5.0,"Community, engagement and communications"
CRY,s5_mset,5,3.0,Measuring and setting emissions targets
CRY,s6_cb,4,4.0,Co-benefits
CRY,s7_dsi,5,3.0,Diversity and inclusion
CRY,s8_est,5,3.0,"Education, skills and training"
CRY,s9_ee,4,3.0,Ecological emergency
CWY,s1_gov,21,1.0,"Governance, development and funding"
CWY,s2_m&a,18,0.0,Mitigation and adaptation
CWY,s3_c&a,7,0.0,Commitment and intergration
CWY,s4_coms,9,2.0,"Community, engagement and communications"
CWY,s5_mset,5,1.0,Measuring and setting emissions targets
CWY,s6_cb,4,0.0,Co-benefits
CWY,s7_dsi,5,0.0,Diversity and inclusion
CWY,s8_est,5,0.0,"Education, skills and training"
CWY,s9_ee,4,0.0,Ecological emergency
DAC,s1_gov,21,6.0,"Governance, development and funding"
DAC,s2_m&a,18,5.0,Mitigation and adaptation
DAC,s3_c&a,7,5.0,Commitment and intergration
DAC,s4_coms,9,5.0,"Community, engagement and communications"
DAC,s5_mset,5,4.0,Measuring and setting emissions targets
DAC,s6_cb,4,1.0,Co-benefits
DAC,s7_dsi,5,0.0,Diversity and inclusion
DAC,s8_est,5,2.0,"Education, skills and training"
DAC,s9_ee,4,3.0,Ecological emergency
DAL,s1_gov,21,15.0,"Governance, development and funding"
DAL,s2_m&a,18,11.0,Mitigation and adaptation
DAL,s3_c&a,7,6.0,Commitment and intergration
DAL,s4_coms,9,5.0,"Community, engagement and communications"
DAL,s5_mset,5,2.0,Measuring and setting emissions targets
DAL,s6_cb,4,3.0,Co-benefits
DAL,s7_dsi,5,2.0,Diversity and inclusion
DAL,s8_est,5,2.0,"Education, skills and training"
DAL,s9_ee,4,3.0,Ecological emergency
DAR,s1_gov,21,0.0,"Governance, development and funding"
DAR,s2_m&a,18,0.0,Mitigation and adaptation
DAR,s3_c&a,7,0.0,Commitment and intergration
DAR,s4_coms,9,0.0,"Community, engagement and communications"
DAR,s5_mset,5,0.0,Measuring and setting emissions targets
DAR,s6_cb,4,0.0,Co-benefits
DAR,s7_dsi,5,0.0,Diversity and inclusion
DAR,s8_est,5,0.0,"Education, skills and training"
DAR,s9_ee,4,0.0,Ecological emergency
DBY,s1_gov,21,8.0,"Governance, development and funding"
DBY,s2_m&a,18,4.0,Mitigation and adaptation
DBY,s3_c&a,5,2.0,Commitment and intergration
DBY,s4_coms,9,4.0,"Community, engagement and communications"
DBY,s5_mset,5,3.0,Measuring and setting emissions targets
DBY,s6_cb,4,2.0,Co-benefits
DBY,s7_dsi,5,1.0,Diversity and inclusion
DBY,s8_est,5,3.0,"Education, skills and training"
DBY,s9_ee,4,0.0,Ecological emergency
DEB,s1_gov,21,13.0,"Governance, development and funding"
DEB,s2_m&a,18,9.0,Mitigation and adaptation
DEB,s3_c&a,7,4.0,Commitment and intergration
DEB,s4_coms,9,4.0,"Community, engagement and communications"
DEB,s5_mset,5,5.0,Measuring and setting emissions targets
DEB,s6_cb,4,1.0,Co-benefits
DEB,s7_dsi,5,1.0,Diversity and inclusion
DEB,s8_est,5,1.0,"Education, skills and training"
DEB,s9_ee,4,3.0,Ecological emergency
DEN,s1_gov,21,9.0,"Governance, development and funding"
DEN,s2_m&a,18,3.0,Mitigation and adaptation
DEN,s3_c&a,7,6.0,Commitment and intergration
DEN,s4_coms,9,7.0,"Community, engagement and communications"
DEN,s5_mset,5,2.0,Measuring and setting emissions targets
DEN,s6_cb,4,0.0,Co-benefits
DEN,s7_dsi,5,0.0,Diversity and inclusion
DEN,s8_est,5,3.0,"Education, skills and training"
DEN,s9_ee,4,3.0,Ecological emergency
DER,s1_gov,21,0.0,"Governance, development and funding"
DER,s2_m&a,18,0.0,Mitigation and adaptation
DER,s3_c&a,7,0.0,Commitment and intergration
DER,s4_coms,9,0.0,"Community, engagement and communications"
DER,s5_mset,5,0.0,Measuring and setting emissions targets
DER,s6_cb,4,0.0,Co-benefits
DER,s7_dsi,5,0.0,Diversity and inclusion
DER,s8_est,5,0.0,"Education, skills and training"
DER,s9_ee,4,0.0,Ecological emergency
DEV,s1_gov,21,8.0,"Governance, development and funding"
DEV,s2_m&a,18,9.0,Mitigation and adaptation
DEV,s3_c&a,5,2.0,Commitment and intergration
DEV,s4_coms,9,8.0,"Community, engagement and communications"
DEV,s5_mset,5,2.0,Measuring and setting emissions targets
DEV,s6_cb,4,2.0,Co-benefits
DEV,s7_dsi,5,0.0,Diversity and inclusion
DEV,s8_est,5,2.0,"Education, skills and training"
DEV,s9_ee,4,3.0,Ecological emergency
DGY,s1_gov,21,14.0,"Governance, development and funding"
DGY,s2_m&a,18,0.0,Mitigation and adaptation
DGY,s3_c&a,7,1.0,Commitment and intergration
DGY,s4_coms,9,1.0,"Community, engagement and communications"
DGY,s5_mset,5,2.0,Measuring and setting emissions targets
DGY,s6_cb,4,0.0,Co-benefits
DGY,s7_dsi,5,0.0,Diversity and inclusion
DGY,s8_est,5,1.0,"Education, skills and training"
DGY,s9_ee,4,0.0,Ecological emergency
DNC,s1_gov,21,7.0,"Governance, development and funding"
DNC,s2_m&a,18,7.0,Mitigation and adaptation
DNC,s3_c&a,7,2.0,Commitment and intergration
DNC,s4_coms,9,5.0,"Community, engagement and communications"
DNC,s5_mset,5,1.0,Measuring and setting emissions targets
DNC,s6_cb,4,3.0,Co-benefits
DNC,s7_dsi,5,1.0,Diversity and inclusion
DNC,s8_est,5,1.0,"Education, skills and training"
DNC,s9_ee,4,3.0,Ecological emergency
DND,s1_gov,21,11.0,"Governance, development and funding"
DND,s2_m&a,18,14.0,Mitigation and adaptation
DND,s3_c&a,7,4.0,Commitment and intergration
DND,s4_coms,9,5.0,"Community, engagement and communications"
DND,s5_mset,5,4.0,Measuring and setting emissions targets
DND,s6_cb,4,4.0,Co-benefits
DND,s7_dsi,5,3.0,Diversity and inclusion
DND,s8_est,5,2.0,"Education, skills and training"
DND,s9_ee,4,3.0,Ecological emergency
DOV,s1_gov,21,13.0,"Governance, development and funding"
DOV,s2_m&a,18,9.0,Mitigation and adaptation
DOV,s3_c&a,7,5.0,Commitment and intergration
DOV,s4_coms,9,7.0,"Community, engagement and communications"
DOV,s5_mset,5,1.0,Measuring and setting emissions targets
DOV,s6_cb,4,4.0,Co-benefits
DOV,s7_dsi,5,1.0,Diversity and inclusion
DOV,s8_est,5,0.0,"Education, skills and training"
DOV,s9_ee,4,2.0,Ecological emergency
DRS,s1_gov,21,9.0,"Governance, development and funding"
DRS,s2_m&a,18,5.0,Mitigation and adaptation
DRS,s3_c&a,7,2.0,Commitment and intergration
DRS,s4_coms,9,3.0,"Community, engagement and communications"
DRS,s5_mset,5,0.0,Measuring and setting emissions targets
DRS,s6_cb,4,2.0,Co-benefits
DRS,s7_dsi,5,0.0,Diversity and inclusion
DRS,s8_est,5,0.0,"Education, skills and training"
DRS,s9_ee,4,2.0,Ecological emergency
DST,s1_gov,21,12.0,"Governance, development and funding"
DST,s2_m&a,18,16.0,Mitigation and adaptation
DST,s3_c&a,7,6.0,Commitment and intergration
DST,s4_coms,9,8.0,"Community, engagement and communications"
DST,s5_mset,5,1.0,Measuring and setting emissions targets
DST,s6_cb,4,4.0,Co-benefits
DST,s7_dsi,5,0.0,Diversity and inclusion
DST,s8_est,5,4.0,"Education, skills and training"
DST,s9_ee,4,4.0,Ecological emergency
DUD,s1_gov,21,0.0,"Governance, development and funding"
DUD,s2_m&a,18,0.0,Mitigation and adaptation
DUD,s3_c&a,7,0.0,Commitment and intergration
DUD,s4_coms,9,0.0,"Community, engagement and communications"
DUD,s5_mset,5,0.0,Measuring and setting emissions targets
DUD,s6_cb,4,0.0,Co-benefits
DUD,s7_dsi,5,0.0,Diversity and inclusion
DUD,s8_est,5,0.0,"Education, skills and training"
DUD,s9_ee,4,0.0,Ecological emergency
DUR,s1_gov,21,16.0,"Governance, development and funding"
DUR,s2_m&a,18,10.0,Mitigation and adaptation
DUR,s3_c&a,7,6.0,Commitment and intergration
DUR,s4_coms,9,4.0,"Community, engagement and communications"
DUR,s5_mset,5,4.0,Measuring and setting emissions targets
DUR,s6_cb,4,4.0,Co-benefits
DUR,s7_dsi,5,0.0,Diversity and inclusion
DUR,s8_est,5,2.0,"Education, skills and training"
DUR,s9_ee,4,1.0,Ecological emergency
EAL,s1_gov,21,12.0,"Governance, development and funding"
EAL,s2_m&a,18,10.0,Mitigation and adaptation
EAL,s3_c&a,7,7.0,Commitment and intergration
EAL,s4_coms,9,9.0,"Community, engagement and communications"
EAL,s5_mset,5,4.0,Measuring and setting emissions targets
EAL,s6_cb,4,2.0,Co-benefits
EAL,s7_dsi,5,2.0,Diversity and inclusion
EAL,s8_est,5,4.0,"Education, skills and training"
EAL,s9_ee,4,3.0,Ecological emergency
EAS,s1_gov,21,9.0,"Governance, development and funding"
EAS,s2_m&a,18,8.0,Mitigation and adaptation
EAS,s3_c&a,7,6.0,Commitment and intergration
EAS,s4_coms,9,4.0,"Community, engagement and communications"
EAS,s5_mset,5,5.0,Measuring and setting emissions targets
EAS,s6_cb,4,2.0,Co-benefits
EAS,s7_dsi,5,0.0,Diversity and inclusion
EAS,s8_est,5,1.0,"Education, skills and training"
EAS,s9_ee,4,2.0,Ecological emergency
EAT,s1_gov,21,5.0,"Governance, development and funding"
EAT,s2_m&a,18,5.0,Mitigation and adaptation
EAT,s3_c&a,7,5.0,Commitment and intergration
EAT,s4_coms,9,8.0,"Community, engagement and communications"
EAT,s5_mset,5,2.0,Measuring and setting emissions targets
EAT,s6_cb,4,3.0,Co-benefits
EAT,s7_dsi,5,0.0,Diversity and inclusion
EAT,s8_est,5,2.0,"Education, skills and training"
EAT,s9_ee,4,3.0,Ecological emergency
EAY,s1_gov,21,4.0,"Governance, development and funding"
EAY,s2_m&a,18,5.0,Mitigation and adaptation
EAY,s3_c&a,7,1.0,Commitment and intergration
EAY,s4_coms,9,5.0,"Community, engagement and communications"
EAY,s5_mset,5,4.0,Measuring and setting emissions targets
EAY,s6_cb,4,1.0,Co-benefits
EAY,s7_dsi,5,0.0,Diversity and inclusion
EAY,s8_est,5,3.0,"Education, skills and training"
EAY,s9_ee,4,2.0,Ecological emergency
ECA,s1_gov,21,9.0,"Governance, development and funding"
ECA,s2_m&a,18,2.0,Mitigation and adaptation
ECA,s3_c&a,7,2.0,Commitment and intergration
ECA,s4_coms,9,7.0,"Community, engagement and communications"
ECA,s5_mset,5,4.0,Measuring and setting emissions targets
ECA,s6_cb,4,2.0,Co-benefits
ECA,s7_dsi,5,0.0,Diversity and inclusion
ECA,s8_est,5,2.0,"Education, skills and training"
ECA,s9_ee,4,3.0,Ecological emergency
EDE,s1_gov,21,12.0,"Governance, development and funding"
EDE,s2_m&a,18,18.0,Mitigation and adaptation
EDE,s3_c&a,7,5.0,Commitment and intergration
EDE,s4_coms,9,8.0,"Community, engagement and communications"
EDE,s5_mset,5,4.0,Measuring and setting emissions targets
EDE,s6_cb,4,4.0,Co-benefits
EDE,s7_dsi,5,2.0,Diversity and inclusion
EDE,s8_est,5,4.0,"Education, skills and training"
EDE,s9_ee,4,4.0,Ecological emergency
EDH,s1_gov,21,20.0,"Governance, development and funding"
EDH,s2_m&a,18,16.0,Mitigation and adaptation
EDH,s3_c&a,7,7.0,Commitment and intergration
EDH,s4_coms,9,6.0,"Community, engagement and communications"
EDH,s5_mset,5,4.0,Measuring and setting emissions targets
EDH,s6_cb,4,3.0,Co-benefits
EDH,s7_dsi,5,2.0,Diversity and inclusion
EDH,s8_est,5,5.0,"Education, skills and training"
EDH,s9_ee,4,3.0,Ecological emergency
EDN,s1_gov,21,0.0,"Governance, development and funding"
EDN,s2_m&a,18,0.0,Mitigation and adaptation
EDN,s3_c&a,7,0.0,Commitment and intergration
EDN,s4_coms,9,0.0,"Community, engagement and communications"
EDN,s5_mset,5,0.0,Measuring and setting emissions targets
EDN,s6_cb,4,0.0,Co-benefits
EDN,s7_dsi,5,0.0,Diversity and inclusion
EDN,s8_est,5,0.0,"Education, skills and training"
EDN,s9_ee,4,0.0,Ecological emergency
EDU,s1_gov,21,8.0,"Governance, development and funding"
EDU,s2_m&a,18,10.0,Mitigation and adaptation
EDU,s3_c&a,7,6.0,Commitment and intergration
EDU,s4_coms,9,4.0,"Community, engagement and communications"
EDU,s5_mset,5,1.0,Measuring and setting emissions targets
EDU,s6_cb,4,3.0,Co-benefits
EDU,s7_dsi,5,3.0,Diversity and inclusion
EDU,s8_est,5,4.0,"Education, skills and training"
EDU,s9_ee,4,3.0,Ecological emergency
EHA,s1_gov,21,5.0,"Governance, development and funding"
EHA,s2_m&a,18,5.0,Mitigation and adaptation
EHA,s3_c&a,7,1.0,Commitment and intergration
EHA,s4_coms,9,4.0,"Community, engagement and communications"
EHA,s5_mset,5,1.0,Measuring and setting emissions targets
EHA,s6_cb,4,0.0,Co-benefits
EHA,s7_dsi,5,1.0,Diversity and inclusion
EHA,s8_est,5,0.0,"Education, skills and training"
EHA,s9_ee,4,3.0,Ecological emergency
EHE,s1_gov,21,6.0,"Governance, development and funding"
EHE,s2_m&a,18,5.0,Mitigation and adaptation
EHE,s3_c&a,7,4.0,Commitment and intergration
EHE,s4_coms,9,4.0,"Community, engagement and communications"
EHE,s5_mset,5,1.0,Measuring and setting emissions targets
EHE,s6_cb,4,0.0,Co-benefits
EHE,s7_dsi,5,0.0,Diversity and inclusion
EHE,s8_est,5,2.0,"Education, skills and training"
EHE,s9_ee,4,1.0,Ecological emergency
ELI,s1_gov,21,10.0,"Governance, development and funding"
ELI,s2_m&a,18,1.0,Mitigation and adaptation
ELI,s3_c&a,7,3.0,Commitment and intergration
ELI,s4_coms,9,3.0,"Community, engagement and communications"
ELI,s5_mset,5,2.0,Measuring and setting emissions targets
ELI,s6_cb,4,1.0,Co-benefits
ELI,s7_dsi,5,0.0,Diversity and inclusion
ELI,s8_est,5,0.0,"Education, skills and training"
ELI,s9_ee,4,0.0,Ecological emergency
ELM,s1_gov,21,10.0,"Governance, development and funding"
ELM,s2_m&a,18,17.0,Mitigation and adaptation
ELM,s3_c&a,7,6.0,Commitment and intergration
ELM,s4_coms,9,4.0,"Community, engagement and communications"
ELM,s5_mset,5,4.0,Measuring and setting emissions targets
ELM,s6_cb,4,2.0,Co-benefits
ELM,s7_dsi,5,0.0,Diversity and inclusion
ELM,s8_est,5,3.0,"Education, skills and training"
ELM,s9_ee,4,1.0,Ecological emergency
ELN,s1_gov,21,12.0,"Governance, development and funding"
ELN,s2_m&a,18,18.0,Mitigation and adaptation
ELN,s3_c&a,7,7.0,Commitment and intergration
ELN,s4_coms,9,7.0,"Community, engagement and communications"
ELN,s5_mset,5,2.0,Measuring and setting emissions targets
ELN,s6_cb,4,3.0,Co-benefits
ELN,s7_dsi,5,0.0,Diversity and inclusion
ELN,s8_est,5,4.0,"Education, skills and training"
ELN,s9_ee,4,3.0,Ecological emergency
ELS,s1_gov,21,9.0,"Governance, development and funding"
ELS,s2_m&a,18,0.0,Mitigation and adaptation
ELS,s3_c&a,7,2.0,Commitment and intergration
ELS,s4_coms,9,2.0,"Community, engagement and communications"
ELS,s5_mset,5,2.0,Measuring and setting emissions targets
ELS,s6_cb,4,0.0,Co-benefits
ELS,s7_dsi,5,0.0,Diversity and inclusion
ELS,s8_est,5,0.0,"Education, skills and training"
ELS,s9_ee,4,1.0,Ecological emergency
ENF,s1_gov,21,12.0,"Governance, development and funding"
